ID,"Item title","Final URL","Image URL","Item description","Item category",Price,"Sale price"
562,"Stella Maris: Split to Split 2023",cruise-split-split-stella-maris-2023,/storage/ships/Stella_Maris_air_-_0144.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>",Deluxe,-,-
563,"Mama Marija II: Split to Dubrovnik 2023",cruise-split-dubrovnik-mama-marija-II-2023,/storage/ships/Mama-Marija-II-Lead-31.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>","Deluxe Superior",-,-
564,"Mama Marija II: Dubrovnik to Split 2023",cruise-dubrovnik-split-mama-marija-II-2023,/storage/ships/Mama-Marija-II-Lead-31.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>","Deluxe Superior",-,-
573,"Stella Maris: Split - Kotor - Split 2023",cruise-split-kotor-split-stella-maris-2023,/storage/ships/Stella_Maris_air_-_0144.jpg,"<p>This round trip from Split combines cultural attractions of 3 countries! Visit some of the most popular Croatian gems like Dubrovnik, Korčula and Hvar, enjoy the cracking coastline of Monetenegro with its picturesque Bay of Kotor, take a day tour to the captivating city of Mostar in Bosnia and Herzegovina. Unlock history, culture and utterly enchanting scenery of the region while cruising the gorgeous Adriatic Sea and stopping off at pristine bays for swim-stops.&nbsp;</p>",Deluxe,-,-
635,"My Way: Split to Split 2023",cruise-split-split-my-way-2023,/storage/ships/My_Way_-_002.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>","Deluxe Superior",-,-
636,"Invictus: Split to Dubrovnik 2023",cruise-split-dubrovnik-invictus-2023,/storage/ships/Invictus-Lead-2.jpg,"<p>Care for a lovely cruise at affordable price? Captivating island-style atmosphere coupled with exceptional privacy and peaceful environment on board will make you fall in love with the beautiful Croatian coast! Start your journey in Dalmatia's busy capital Split and disembark in the idyllic histrorical Dubrovnik. Visit some of the most popular highlights during the cruise: Brač, Hvar, Korčula, Mljet, Vis, enjoy your prepared meals on board, soak up some sun on the top deck with jaccuzzi and spend evenings roaming around charming coastal towns.</p>",Deluxe,-,-
637,"Invictus: Dubrovnik to Split 2023",cruise-dubrovnik-split-invictus-2023,/storage/ships/Invictus-Lead-2.jpg,"<p>Cruise the stunning Croatian coast from Dubrovnik to Split on board a stylish comfortable motor yacht. Enjoy a great selection of hottest destinations like Hvar, Brač, Korcula, Mljet and Vis for a reasonable price. The exciting 7-day adventure in the gorgeous Adriatic Sea is packed with great activities like informative walking tours, swim stops in picturesque locatons and gastronomic delights.&nbsp;</p>",Deluxe,-,-
638,"Katarina: Dubrovnik to Dubrovnik 2023",cruise-dubrovnik-dubrovnik-katarina-2023,/storage/ships/1_panorama.jpg,"<p>We've got something special for all Dubrovnik lovers over there: the beauty of this famous historic city leaves every one breathless, moreover, the area near Dubrovnik includes many places that can also be considered as real jewels of the entire Mediterranean region. All this makes Dubrovnik a perfect base port for your sea adventure: Southern Dalmatia is literally filled with history, culture, unique architecture and gorgeous nature. Explore Croatia's top spots like Hvar, Split, Brač, Korčula. The vibrant town of Makarska is a popular resort, known for its sandy beaches and attractive summer night life. A visit to Mljet National Park on the other hand will make you fully immersed in the stunning nature of Croatia's south and its bucolic lifestyle.&nbsp;</p>",Deluxe,-,-
639,"Avangard: Split to Split 2023",cruise-split-split-avangard-2023,/storage/ships/MS-Avangard-Exterior-9-Header-2000x1335.jpg,"<p>The perfect option for everybody who visits Croatia for the first time. Stop off at the most popular destinations: Hvar, Brać, Korcula, Mljet and last but not least &ndash; Dubrovnik, one of Croatia's most visited historical towns located in the very south of the country. This signature cruise offers a great portion of inspiring sight-seeing, fantastic swim stops, nature experience and incredible local cuisine. Both embarkation and disembarkation is in Split, which makes it easier in terms of arranging flights and holiday extension after the cruise.&nbsp;&nbsp;</p>","Deluxe Superior",-,-
640,"Invictus: Split -Trogir - Dubrovnik 2023",cruise-split-trogir-dubrovnik-invictus-2023,/storage/ships/Invictus-Lead-2.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>",Deluxe,-,-
641,"Adriatic Pearl: Split to Dubrovnik 2023",cruise-split-dubrovnik-adriatic-pearl-2023,/storage/ships/cruise-omis-dubrovnik-adriatic-pearl_(1).jpg,"<p>One way routes are great if you yearn for more interesting destinations during your 7-night cruise. Sailing on a luxurious small ship, visiting well known places like Hvar or Brač as well as more remote islands like Vis is a perfect choice! Start your day on board with a buffet breakfast, followed by a delicious lunch before swim stop. Explore new towns in the afternoon and spend evenings at leisure. Another important thing to mention is that Split and Dubrovnik are really not so far from each other, so getting back to the original destination to catch your flight back home is not going to be a problem!&nbsp;</p>",Deluxe,-,-
642,"Fantazija: Split to Dubrovnik 2023",cruise-split-dubrovnik-fantazija-2023,/storage/ships/1_IMG_9543.jpg,"<p>One way routes are great if you yearn for more interesting destinations during your 7-night cruise. Sailing on a luxurious small ship, visiting well known places like Hvar or Brač as well as more remote islands like Vis is a perfect choice! Start your day on board with a buffet breakfast, followed by a delicious lunch before swim stop. Explore new towns in the afternoon and spend evenings at leisure. Another important thing to mention is that Split and Dubrovnik are really not so far from each other, so getting back to the original destination to catch your flight back home is not going to be a problem!&nbsp;</p>",Deluxe,-,-
643,"Majestic: Split to Split 2023",cruise-split-split-majestic-2023,/storage/ships/majestic-cover-photo.jpg,"<p>The classical South Dalmatian route from Split will leave you breathless! It's a great combination of culture and adventure: explore the most popular destinations like Dubrovnik, Mljet, Makarska, Hvar and Korčula, discover fantastic beaches, enjoy local food and make new friends.&nbsp;</p>","Premium Superior",-,-
644,"San Spirito: Split to Split 2023",cruise-split-split-san-spirito-2023,/storage/ships/SanSpirito-Lead-1.jpg,"<p>The capital of Dalmatia, Split is often chosen as the first port of call all thanks to its convenient geographic position and stunning UNESCO World Heritage site. Explore the charming coastal towns as you make your way down to Dubrovnik and back, sit back on the topdeck and relax with a good book as you soak up some sun and enjoy the gorgeous Croatian archipelago. For the ultimate in sea delights, there are plenty of swim stops in the turquoise-blue waters of the Adriatic.</p>",Deluxe,-,-
646,"Avangard: Dubrovnik to Dubrovnik 2023",cruise-dubrovnik-dubrovnik-avangard-2023,/storage/ships/MS-Avangard-Exterior-9-Header-2000x1335.jpg,"<p>The secret love affair between the sea and the wine has been going on since ancient times, and few can resist it. By joining this very special cruise which includes the islands Korčula and Hvar, and the city of Dubrovnik, you will become a part of that unbreakable bond. A tour of the wineries, the cellars and the local winemakers on the islands and along the mainland coast around Dubrovnik with the chance to savour wines produced from the indigenous varieties of grapes,enables one to learn about the tradition of viticulture and taste the life of the striking part of Croatia. Let yourself relax in the embrace of the sea and the wine, enjoy pleasant company and give a rest to your body and at the same time fortify your spirit with this rather unforgettable oenological adventure</p>","Deluxe Superior",-,-
647,"Ave Maria: Dubrovnik to Dubrovnik 2023",cruise-dubrovnik-dubrovnik-ave-maria-2023,/storage/ships/cruise-split-dubrovnik-ave-maria.jpg,"<p>We've got something special for all Dubrovnik lovers over there: the beauty of this famous historic city leaves every one breathless, moreover, the area near Dubrovnik includes many places that can also be considered as real jewels of the entire Mediterranean region. All this makes Dubrovnik a perfect base port for your sea adventure: Southern Dalmatia is literally filled with history, culture, unique architecture and gorgeous nature. Explore Croatia's top spots like Hvar, Split, Brač, Korčula. The vibrant town of Makarska is a popular resort, known for its sandy beaches and attractive summer night life. A visit to Mljet National Park on the other hand will make you fully immersed in the stunning nature of Croatia's south and its bucolic lifestyle.&nbsp;</p>","Deluxe Superior",-,-
648,"Aurelia: Dubrovnik to Dubrovnik 2023",cruise-dubrovnik-dubrovnik-aurelia-2023,/storage/ships/aurelia1.jpg,"<p>We've got something special for all Dubrovnik lovers over there: the beauty of this famous historic city leaves every one breathless, moreover, the area near Dubrovnik includes many places that can also be considered as real jewels of the entire Mediterranean region. All this makes Dubrovnik a perfect base port for your sea adventure: Southern Dalmatia is literally filled with history, culture, unique architecture and gorgeous nature. Explore Croatia's top spots like Hvar, Split, Brač, Korčula. The vibrant town of Makarska is a popular resort, known for its sandy beaches and attractive summer night life. A visit to Mljet National Park on the other hand will make you fully immersed in the stunning nature of Croatia's south and its bucolic lifestyle.&nbsp;</p>","Deluxe Superior",-,-
650,"Mama Marija: Dubrovnik to Split 2024",cruise-dubrovnik-split-mama-marija-2024,/storage/ships/MamaMarija-1003.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>","Deluxe Superior",-,-
651,"Summer: Dubrovnik to Split 2024",cruise-dubrovnik-split-summer-2024,/storage/ships/summer-lead-1.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>",Deluxe,-,-
652,"Mama Marija: Split to Dubrovnik 2024",cruise-split-dubrovnik-mama-marija-2024,/storage/ships/MamaMarija-1003.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>","Deluxe Superior",-,-
653,"Summer: Split to Dubrovnik 2024",cruise-split-dubrovnik-summer-2024,/storage/ships/summer-lead-1.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>",Deluxe,-,-
654,"Ambassador: Dubrovnik to Split 2024",cruise-dubrovnik-split-ambassador-2024,/storage/ships/MS_Ambassador.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>","Deluxe Superior",-,-
655,"Mama Marija II: Dubrovnik to Split 2024",cruise-dubrovnik-split-mama-marija-II-2024,/storage/ships/Mama-Marija-II-Lead-31.jpg,"<p>The one-way cruise program from Dubrovnik to Split offers a great combination of sight-seeing, relaxation and adventure! Visit the remote island of Vis, find your very own swim spot on &Scaron;ipan or Slano, and browse the cobbled streets of the lovely historical town of Omi&scaron; before you finish your cruise in Split.&nbsp;</p>","Deluxe Superior",-,-
656,"Ambassador: Split to Dubrovnik 2024",cruise-split-dubrovnik-ambassador-2024,/storage/ships/MS_Ambassador.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>","Deluxe Superior",-,-
657,"Mama Marija II: Split to Dubrovnik 2024",cruise-split-dubrovnik-mama-marija-II-2024,/storage/ships/Mama-Marija-II-Lead-31.jpg,"<p>Start your sea adventure in Split and enjoy the gorgeous Croatian coast while making your way down to Dubrovnik on board a deluxe mini cruiser! Enjoy the sun and sea breeze on the topdeck, experience delicious cuisine in the restaurant and learn more about destinations during inspiring walking tours.&nbsp;</p>","Deluxe Superior",-,-
658,"Splendid: Dubrovnik to Split 2024",cruise-dubrovnik-split-splendid-2024,/storage/ships/splendid-lead-1.jpg,"<p>Cruise the stunning Croatian coast from Dubrovnik to Split on board a stylish comfortable motor yacht. Enjoy a great selection of hottest destinations like Hvar, Brač, Korcula, Mljet and Vis for a reasonable price. The exciting 7-day adventure in the gorgeous Adriatic Sea is packed with great activities like informative walking tours, swim stops in picturesque locatons and gastronomic delights.&nbsp;</p>","Premium Superior",-,-
659,"Captain Bota: Dubrovnik to Split 2024",cruise-dubrovnik-split-captain-bota-2024,/storage/ships/bota-lead-5.jpg,"<p>Cruise the stunning Croatian coast from Dubrovnik to Split on board a stylish comfortable motor yacht. Enjoy a great selection of hottest destinations like Hvar, Brač, Korcula, Mljet and Vis for a reasonable price. The exciting 7-day adventure in the gorgeous Adriatic Sea is packed with great activities like informative walking tours, swim stops in picturesque locatons and gastronomic delights.&nbsp;</p>",Deluxe,-,-
660,"Splendid: Split to Dubrovnik 2024",cruise-split-dubrovnik-splendid-2024,/storage/ships/splendid-lead-1.jpg,"<p>Care for a lovely cruise at affordable price? Captivating island-style atmosphere coupled with exceptional privacy and peaceful environment on board will make you fall in love with the beautiful Croatian coast! Start your journey in Dalmatia's busy capital Split and disembark in the idyllic histrorical Dubrovnik. Visit some of the most popular highlights during the cruise: Brač, Hvar, Korčula, Mljet, Vis, enjoy your prepared meals on board, soak up some sun on the top deck with jaccuzzi and spend evenings roaming around charming coastal towns.</p>","Premium Superior",-,-
661,"Captain Bota: Split to Dubrovnik 2024",cruise-split-dubrovnik-captain-bota-2024,/storage/ships/bota-lead-5.jpg,"<p>Care for a lovely cruise at affordable price? Captivating island-style atmosphere coupled with exceptional privacy and peaceful environment on board will make you fall in love with the beautiful Croatian coast! Start your journey in Dalmatia's busy capital Split and disembark in the idyllic histrorical Dubrovnik. Visit some of the most popular highlights during the cruise: Brač, Hvar, Korčula, Mljet, Vis, enjoy your prepared meals on board, soak up some sun on the top deck with jaccuzzi and spend evenings roaming around charming coastal towns.</p>",Deluxe,-,-
662,"Riva: Split to Split 2023",cruise-split-split-riva-2023,/storage/ships/001.jpg,"<p>The perfect option for everybody who visits Croatia for the first time. Stop off at the most popular destinations: Hvar, Brać, Korcula, Mljet and last but not least &ndash; Dubrovnik, one of Croatia's most visited historical towns located in the very south of the country. This signature cruise offers a great portion of inspiring sight-seeing, fantastic swim stops, nature experience and incredible local cuisine. Both embarkation and disembarkation is in Split, which makes it easier in terms of arranging flights and holiday extension after the cruise.&nbsp;&nbsp;</p>",Deluxe,-,-
664,"Riva: Dubrovnik to Split 2023",cruise-dubrovnik-split-riva-2023,/storage/ships/001.jpg,"<p>A summer cruise to remember! Board your beautiful deluxe vessel in Dubrovnik, Croatia's southernmost city, and be ready to head up north towards Split. This route brings an opportunity to explore many of Croatia highlights: Hvar, Brač, Korčula, the national park of Mljet. Other destinations include the former fishermen's village of Slano and Ston, a once fortified small town near Dubrovnik, famous for its oysters, which you will also have a chance to taste during the half-day excursion.&nbsp;</p>",Deluxe,-,-
665,"Antaris: Split to Dubrovnik 2024",cruise-split-dubrovnik-antaris-2024,/storage/ships/antaris-lead-001.jpg,"<p>Treat yourself to a gorgeous one way cruise from the medieval city of Split to poshy Dubrovnik. All the must-see Croatian highlights are here: Hvar, Mljet, Korčula and Vis, but at the same time the cruise offers a little extra that will make your journey unforgettable: some rural experience, oyster tasting and swim stops in picturesque lagoons. Apart from that, enjoy a high level of personalized service, delicious meals on board, spacious sundeck with hot tub and comfortable cabins.&nbsp;</p>","Deluxe Superior",-,-
666,"Antaris: Dubrovnik to Split 2024",cruise-dubrovnik-split-antaris-2024,/storage/ships/antaris-lead-001.jpg,"<p>This incredible one way program from the glittering Dubrovnik to Dalmatia's capital Split is going to be a truly memorable sea adventure! Visit the most wanted destinations like Hvar, Mljet and Split, explore the remote island of Vis, also known as Croatia's Capri, indulge your taste buds with various gastronomic experiences such as fresh oyster tasting. Your friendly Captain and the crew will make sailing between the islands smooth and pleasant, with plenty of swim stops, delicious meals and stunning ocean views.&nbsp;</p>","Deluxe Superior",-,-
667,"Ban: Split to Dubrovnik 2024",cruise-split-dubrovnik-ban-2024,/storage/ships/ban-lead-001.jpg,"<p>Treat yourself to a gorgeous one way cruise from the medieval city of Split to poshy Dubrovnik. All the must-see Croatian highlights are here: Hvar, Mljet, Korčula and Vis, but at the same time the cruise offers a little extra that will make your journey unforgettable: some rural experience, oyster tasting and swim stops in picturesque lagoons. Apart from that, enjoy a high level of personalized service, delicious meals on board, spacious sundeck with hot tub and comfortable cabins.&nbsp;</p>","Deluxe Superior",-,-
668,"Ban: Dubrovnik to Split 2024",cruise-dubrovnik-split-ban-2024,/storage/ships/ban-lead-001.jpg,"<p>This incredible one way program from the glittering Dubrovnik to Dalmatia's capital Split is going to be a truly memorable sea adventure! Visit the most wanted destinations like Hvar, Mljet and Split, explore the remote island of Vis, also known as Croatia's Capri, indulge your taste buds with various gastronomic experiences such as fresh oyster tasting. Your friendly Captain and the crew will make sailing between the islands smooth and pleasant, with plenty of swim stops, delicious meals and stunning ocean views.&nbsp;</p>","Deluxe Superior",-,-
671,"Diamond: Split to Dubrovnik 2024",cruise-split-dubrovnik-diamond-2024,/storage/ships/diamond-exterior-001.jpg,"<p>Treat yourself to a gorgeous one way cruise from the medieval city of Split to poshy Dubrovnik. All the must-see Croatian highlights are here: Hvar, Mljet, Korčula and Vis, but at the same time the cruise offers a little extra that will make your journey unforgettable: some rural experience, oyster tasting and swim stops in picturesque lagoons. Apart from that, enjoy a high level of personalized service, delicious meals on board, spacious sundeck with hot tub and comfortable cabins.&nbsp;</p>",Deluxe,-,-
672,"Riva: Split to Dubrovnik 2023",cruise-split-dubrovnik-riva-2023,/storage/ships/001.jpg,"<p>One way routes are great if you yearn for more interesting destinations during your 7-night cruise. Sailing on a luxurious small ship, visiting well known places like Hvar or Brač as well as more remote islands like Vis is a perfect choice! Start your day on board with a buffet breakfast, followed by a delicious lunch before swim stop. Explore new towns in the afternoon and spend evenings at leisure. Another important thing to mention is that Split and Dubrovnik are really not so far from each other, so getting back to the original destination to catch your flight back home is not going to be a problem!&nbsp;</p>",Deluxe,-,-
673,"Equator: Split to Split 2024",cruise-split-split-equator-2024,/storage/ships/equator.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>",Deluxe,-,-
674,"Stella Maris: Split to Split 2024",cruise-split-split-stella-maris-2024,/storage/ships/Stella_Maris_air_-_0144.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>",Deluxe,-,-
675,"Prestige: Split to Split 2024",cruise-split-split-prestige-2024,/storage/ships/prestige_(6).jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>",Deluxe,-,-
512,"Futura: Dubrovnik to Dubrovnik 2022",cruise-dubrovnik-dubrovnik-futura-2022,/storage/ships/cruise-dubrovnik-split-futura.jpg,"<p>We've got something special for all Dubrovnik lovers over there: the beauty of this famous historic city leaves every one breathless, moreover, the area near Dubrovnik includes many places that can also be considered as real jewels of the entire Mediterranean region. All this makes Dubrovnik a perfect base port for your sea adventure: Southern Dalmatia is literally filled with history, culture, unique architecture and gorgeous nature. Explore Croatia's top wine spots like Hvar, Pelje&scaron;ac, Ston and Korčula.&nbsp;</p>","Deluxe Superior",-,-
513,"Equator: Split to Split 2022",cruise-split-split-equator-2022,/storage/ships/equator.jpg,"<p>If you are looking for a great round trip along the Croatian coast, choose Split as you starting point to go down to Dubrovnik and back. This route includes all the &bdquo;greatest hits&ldquo; of Croatia's gourgeous archipelago: Hvar, Brač, Mljet and Korčula. This itinerary offers a lot of relaxation, great sight-seeing and unforgettable gastronomic experience. Swim stops before lunch, arrival to the port in the afternoon and evenings spent at leisure exploring new towns before disembarking back in Split.&nbsp;</p>",Deluxe,-,-
258,"Mama Marija: Dubrovnik to Split 2021",cruise-dubrovnik-split-mama-marija-2021,/storage/ships/MamaMarija-1003.jpg,,"Deluxe Superior",-,-
259,"Splendid: Dubrovnik to Split 2021",cruise-dubrovnik-split-splendid-2021,/storage/ships/splendid-lead-1.jpg,,"Premium Superior",-,-
515,"Lastavica: Split to Dubrovnik 2022",cruise-split-dubrovnik-lastavica-2022,/storage/ships/lastavica-lead-001.jpg,"<p>Treat yourself to a gorgeous one way cruise from the medieval city of Split to poshy Dubrovnik. All the must-see Croatian highlights are here: Hvar, Brač, Mljet, Korčula and Vis, but at the same time the cruise offers a little extra that will make your journey unforgettable: some rural experience, oyster tasting, real Dalmatian dinner and swim stops in picturesque lagoons. Apart from that, enjoy a high level of personalized service, delicious meals on board, spacious sundeck with hot tub and comfortable cabins.&nbsp;</p>","Deluxe Superior",-,-
516,"Lastavica: Dubrovnik to Split 2022",cruise-dubrovnik-split-lastavica-2022,/storage/ships/lastavica-lead-001.jpg,"<p>This incredible one way program from the glittering Dubrovnik to Dalmatia's capital Split is going to be a truly memorable sea adventure! Visit the most wanted destinations like Hvar, Mljet and Brač, explore the remote island of Vis, also known as Croatia's Capri, indulge your taste buds with various gastronomic experiences such as fresh oyster tasting and dinner at a rural Dalmatian estate. Your friendly Captain and the crew will make sailing between the islands smooth and pleasant, with plenty of swim stops, delicious meals and stunning ocean views.&nbsp;</p>","Deluxe Superior",-,-
